# XV6-RISCV Comprehensive Memory Analysis Report
# Maps every kernel address to exact source file and line number
# Generated from: kernel/kernel

=== MEMORY LAYOUT WITH SOURCE ATTRIBUTION ===
Address            Size    Symbol           Source Location
0x00000000800010be     40 B kvmmap           /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/vm.c:58
0x00000000800010e6    172 B kvmmake          /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/vm.c:22
0x0000000080001192     28 B kvminit          /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/vm.c:66
0x00000000800011ae     38 B uvmcreate        /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/vm.c:179
0x00000000800011d4    138 B uvmunmap         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/vm.c:193
0x000000008000125e     68 B uvmdealloc       /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/vm.c:247
0x00000000800012a2    174 B uvmalloc         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/vm.c:217
0x0000000080001350     96 B freewalk         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/vm.c:263
0x00000000800013b0     50 B uvmfree          /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/vm.c:283
0x00000000800013e2    162 B uvmcopy          /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/vm.c:297
0x0000000080001484     42 B uvmclear         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/vm.c:329
0x00000000800014ae    160 B copyinstr        /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/vm.c:410
0x000000008000154e     32 B ismapped         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/vm.c:476
0x000000008000156e    130 B vmfault          /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/vm.c:453
0x00000000800015f0    190 B copyout          /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/vm.c:343
0x00000000800016ae    142 B copyin           /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/vm.c:381
0x000000008000173c    ? B   $xrv64i2p1_m2p0_a2p1 /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/proc.c:34
0x000000008000173c    158 B proc_mapstacks   /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/proc.c:33
0x00000000800017da    176 B procinit         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/proc.c:48
0x000000008000188a     20 B cpuid            /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/proc.c:65
0x000000008000189e     32 B mycpu            /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/proc.c:74
0x00000000800018be     48 B myproc           /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/proc.c:83
0x00000000800018ee    152 B forkret          /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/proc.c:518
0x0000000080001986     62 B allocpid         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/proc.c:93
0x00000000800019c4    132 B proc_pagetable   /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/proc.c:177
0x0000000080001a48     70 B proc_freepagetable /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/proc.c:211
0x0000000080001a8e     80 B freeproc         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/proc.c:156
0x0000000080001ade    166 B allocproc        /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/proc.c:110
0x0000000080001b84     60 B userinit         /mnt/c/Users/giorgi/Downloads/xv6-riscv/kernel/proc.c:227
